mil,task,cls_id,cls_name,metric,none_tcga,none_cptac,mac_cptac,delta_n,rpd,prev_tcga,prev_cptac,delta_p,d_c,b_tilde,tcga_tubule,cptac_tubule,tcga_nuclear,cptac_nuclear,tcga_mitotic,cptac_mitotic,tcga_necrosis,cptac_necrosis,tcga_li,cptac_li,tcga_pmn,cptac_pmn
clam_mil_mb,er,0,neg,pr_auc,0.67,0.698,0.733,0.035,-0.0418,0.1604,0.3799,0.2196,0.135563,1.4448,2.72,2.8,2.6,2.66,0.3,0.68,0.54,0.44,0.62,0.86,0.76,0.54
clam_mil_mb,er,1,pos,pr_auc,0.955,0.881,0.911,0.03,0.0775,0.8396,0.6201,-0.2196,0.105404,2.6416,2.4,2.44,2.2,1.94,0.12,0.26,0.06,0.24,0.94,0.9,0.26,0.24
dsmil,er,0,neg,pr_auc,0.81,0.713,0.685,-0.028,0.1198,0.1925,0.3799,0.1875,0.135563,1.4448,2.72,2.8,2.6,2.66,0.3,0.68,0.54,0.44,0.62,0.86,0.76,0.54
dsmil,er,1,pos,pr_auc,0.978,0.854,0.873,0.019,0.1268,0.8075,0.6201,-0.1875,0.105404,2.6416,2.4,2.44,2.2,1.94,0.12,0.26,0.06,0.24,0.94,0.9,0.26,0.24
transmil,er,0,neg,pr_auc,0.859,0.763,0.598,-0.165,0.1118,0.2778,0.3799,0.1022,0.135563,1.4448,2.72,2.8,2.6,2.66,0.3,0.68,0.54,0.44,0.62,0.86,0.76,0.54
transmil,er,1,pos,pr_auc,0.986,0.913,0.751,-0.162,0.074,0.7222,0.6201,-0.1022,0.105404,2.6416,2.4,2.44,2.2,1.94,0.12,0.26,0.06,0.24,0.94,0.9,0.26,0.24
clam_mil_mb,erbb2,0,neg,pr_auc,0.983,0.925,0.933,0.008,0.059,0.7926,0.8915,0.0988,0.106111,-0.296,2.5,2.58,2.36,1.86,0.24,0.3,0.16,0.26,0.48,0.94,0.34,0.48
clam_mil_mb,erbb2,1,pos,pr_auc,0.728,0.176,0.234,0.058,0.7582,0.2074,0.1085,-0.0988,0.115472,0.4192,2.62,2.58,2.78,2.22,0.28,0.38,0.36,0.34,0.56,0.82,0.44,0.46
dsmil,erbb2,0,neg,pr_auc,0.93,0.925,0.917,-0.008,0.0054,0.8955,0.8915,-0.004,0.106111,-0.296,2.5,2.58,2.36,1.86,0.24,0.3,0.16,0.26,0.48,0.94,0.34,0.48
dsmil,erbb2,1,pos,pr_auc,0.329,0.123,0.14,0.017,0.6261,0.1045,0.1085,0.004,0.115472,0.4192,2.62,2.58,2.78,2.22,0.28,0.38,0.36,0.34,0.56,0.82,0.44,0.46
transmil,erbb2,0,neg,pr_auc,0.904,0.904,0.923,0.019,-0.0,0.8,0.8915,0.0915,0.106111,-0.296,2.5,2.58,2.36,1.86,0.24,0.3,0.16,0.26,0.48,0.94,0.34,0.48
transmil,erbb2,1,pos,pr_auc,0.244,0.111,0.141,0.03,0.5451,0.2,0.1085,-0.0915,0.115472,0.4192,2.62,2.58,2.78,2.22,0.28,0.38,0.36,0.34,0.56,0.82,0.44,0.46
clam_mil_mb,pr,0,neg,pr_auc,0.901,0.764,0.733,-0.031,0.1521,0.3116,0.455,0.1434,0.112338,1.08,2.72,2.68,2.5,2.1,0.36,0.44,0.72,0.44,0.66,0.84,0.78,0.56
clam_mil_mb,pr,1,pos,pr_auc,0.962,0.822,0.758,-0.064,0.1455,0.6884,0.545,-0.1434,0.117604,1.5584,2.34,2.42,1.9,1.72,0.08,0.16,0.12,0.22,0.64,0.84,0.32,0.38
dsmil,pr,0,neg,pr_auc,0.876,0.788,0.771,-0.017,0.1005,0.3239,0.455,0.1311,0.112338,1.08,2.72,2.68,2.5,2.1,0.36,0.44,0.72,0.44,0.66,0.84,0.78,0.56
dsmil,pr,1,pos,pr_auc,0.959,0.811,0.828,0.017,0.1543,0.6761,0.545,-0.1311,0.117604,1.5584,2.34,2.42,1.9,1.72,0.08,0.16,0.12,0.22,0.64,0.84,0.32,0.38
